time,date,run,ahu1_fan_power,ahu1_heat_power,ahu2_heat_power,ch1_power,ahu2_fan_power,dx_c1_power,ch2_power,dx_c2_power,exf1_power,exf2_power,oau_fan_power,oau_heat_power,pump1_power,pump2_power,pump4_power,pump5_power,pump3_power,vav1_heat_power,vav2_heat_power,vav3_heat_power,vav4_heat_power,zs1_heat_power,zs2_heat_power,zs3_heat_power,zs4_heat_power
2023-11-22 11:58:21.007000-05:00,2023-11-22,1,2.003797,1.982385,1.990036,1.001672,2.010426,0.000939001097,0.998621657,0.000922899256,1.008944,2.015685,2.003322,0.000890695575,1.007649,1.010822,2.013878,2.013891,1.011799,2.015935,2.010684,2.014359,2.017925,2.01995,2.018143,2.019862,2.01524
2023-11-22 11:58:31.007000-05:00,2023-11-22,1,2.009819,1.982234,1.989801,0.997164191,2.003499,0.001003408,0.998573741,0.000826288212,1.009088,2.005933,1.997942,0.000906797415,0.985354086,1.00841,2.013778,2.00738,1.008716,2.009276,2.016403,2.00898,2.013459,2.01356,2.012329,2.019146,2.019064
2023-11-22 11:58:41.007000-05:00,2023-11-22,1,2.004811,1.981959,1.989513,0.994169509,2.011086,0.000971204778,0.999436236,0.000874593734,1.009679,2.01615,1.995461,0.000874593734,1.009806,1.008426,2.013261,2.014649,1.01116,2.015365,2.004833,2.015496,2.016695,2.014214,2.018617,2.019331,2.015741
2023-11-22 11:58:51.007000-05:00,2023-11-22,1,2.010382,1.982239,1.989791,1.002994,2.003858,0.000955102937,0.991641837,0.00076188085,1.009552,2.006353,2.00039,0.000842390053,1.010462,1.008953,2.013795,2.007572,1.011064,2.010055,2.016429,2.007932,2.013988,2.013944,2.012662,2.019192,2.016994
2023-11-22 11:59:01.007000-05:00,2023-11-22,1,2.00742,1.98143,1.989049,1.003313,2.000828,0.000906797415,0.997870967,0.000874593734,1.009408,2.015683,1.997297,0.000890695575,1.010206,1.009496,2.012799,2.004728,1.011016,1.999251,2.013936,2.015652,2.005899,2.010613,2.009798,2.018828,2.018488
2023-11-22 11:59:11.007000-05:00,2023-11-22,1,2.007625,1.981607,1.989101,0.998040294,2.000987,0.000874593734,0.999196654,0.000874593734,1.008497,2.015738,1.998393,0.000890695575,0.99906654,1.009065,2.012964,2.004956,0.980902968,1.999929,2.014491,2.015741,2.006766,2.010808,2.010068,2.018919,2.01889
2023-11-22 11:59:21.007000-05:00,2023-11-22,1,2.012948,1.982405,1.989948,1.001449,2.005421,0.000890695575,0.997791107,0.000842390053,1.008225,2.008982,1.998908,0.000858491893,1.000633,1.00948,2.01396,2.009214,0.987708382,2.012915,2.016625,2.007215,2.01597,2.015634,2.014182,2.019544,2.011505
2023-11-22 11:59:31.007000-05:00,2023-11-22,1,2.003993,1.981403,1.989103,1.001306,2.010745,0.000922899256,0.998861239,0.000955102937,1.009152,2.015766,2.002388,0.000858491893,1.008432,1.01079,2.012987,2.010244,1.010377,2.014153,2.010155,2.015724,2.005732,2.009326,2.01637,2.018888,2.017085
2023-11-22 11:59:41.007000-05:00,2023-11-22,1,2.009573,1.982488,1.990096,1.000446,2.009253,0.000874593734,0.998589713,0.000842390053,1.00936,2.014253,2.002324,0.000874593734,1.008768,1.010966,2.014081,2.012921,1.009339,2.015988,2.016767,2.012752,2.017931,2.019027,2.017227,2.019946,2.01411
2023-11-22 11:59:51.007000-05:00,2023-11-22,1,2.003755,1.981313,1.989037,1.000748,2.01205,0.000987306619,1.001049,0.000874593734,1.011293,2.01571,2.000906,0.000826288212,1.009071,0.982032299,2.013014,2.005571,1.010169,2.014837,2.009304,2.015656,2.003979,2.009166,2.015708,2.018817,2.01755
